tcr,bin,accuracy,f1,precision,recall,cv_f1,num_mutations_in_bin,num_significant_features,penalty,C,solver
TRBV19_TRBJ1-4,1_to_3,1.0,1.0,1.0,1.0,0.2,292877,161,l1,10,liblinear
TRBV19_TRBJ1-4,1_to_4,1.0,1.0,1.0,1.0,0.5833333333333333,355002,140,l1,10,liblinear
TRBV19_TRBJ1-4,1_to_5,1.0,1.0,1.0,1.0,0.0,403774,108,l1,10,liblinear
TRBV19_TRBJ1-4,1_to_6,1.0,1.0,1.0,1.0,0.0,444526,91,l1,10,liblinear
TRBV19_TRBJ1-4,1_to_7,1.0,1.0,1.0,1.0,0.0,481320,81,l1,10,liblinear
TRBV19_TRBJ1-6,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,25,l1,10,liblinear
TRBV19_TRBJ1-6,1_to_2,1.0,1.0,1.0,1.0,0.2,203659,103,l1,10,liblinear
TRBV19_TRBJ1-6,1_to_3,1.0,1.0,1.0,1.0,0.45,292877,196,l1,10,liblinear
TRBV19_TRBJ1-6,1_to_4,1.0,1.0,1.0,1.0,0.25,355002,136,l1,10,liblinear
TRBV19_TRBJ1-6,1_to_5,1.0,1.0,1.0,1.0,0.0,403774,134,l1,10,liblinear
TRBV19_TRBJ1-6,1_to_6,1.0,1.0,1.0,1.0,0.0,444526,118,l1,10,liblinear
TRBV19_TRBJ1-6,1_to_7,1.0,1.0,1.0,1.0,0.0,481320,119,l1,10,liblinear
TRBV19_TRBJ2-7,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,29,l1,10,liblinear
TRBV19_TRBJ2-7,1_to_2,1.0,1.0,1.0,1.0,0.0,203659,241,l1,10,liblinear
TRBV19_TRBJ2-7,1_to_3,1.0,1.0,1.0,1.0,0.0,292877,45,l1,1,liblinear
TRBV19_TRBJ2-7,1_to_4,1.0,1.0,1.0,1.0,0.0,355002,38,l1,1,liblinear
TRBV19_TRBJ2-7,1_to_5,1.0,1.0,1.0,1.0,0.0,403774,15,l1,1,liblinear
TRBV19_TRBJ2-7,1_to_6,1.0,1.0,1.0,1.0,0.0,444526,14,l1,1,liblinear
TRBV19_TRBJ2-7,1_to_7,1.0,1.0,1.0,1.0,0.0,481320,19,l1,1,liblinear
TRBV20-1_TRBJ1-1,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,29,l1,10,liblinear
TRBV20-1_TRBJ1-1,1_to_2,1.0,1.0,1.0,1.0,0.0,203659,206,l1,10,liblinear
TRBV20-1_TRBJ1-1,1_to_3,1.0,1.0,1.0,1.0,0.0,292877,38,l1,1,liblinear
TRBV20-1_TRBJ1-1,1_to_4,1.0,1.0,1.0,1.0,0.0,355002,55,l1,1,liblinear
TRBV20-1_TRBJ1-1,1_to_5,1.0,1.0,1.0,1.0,0.0,403774,16,l1,1,liblinear
TRBV20-1_TRBJ1-1,1_to_6,1.0,1.0,1.0,1.0,0.0,444526,12,l1,1,liblinear
TRBV20-1_TRBJ1-1,1_to_7,1.0,1.0,1.0,1.0,0.0,481320,14,l1,1,liblinear
TRBV20-1_TRBJ1-2,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,25,l1,10,liblinear
TRBV20-1_TRBJ1-2,1_to_2,1.0,1.0,1.0,1.0,0.45,203659,162,l1,10,liblinear
TRBV20-1_TRBJ1-2,1_to_3,1.0,1.0,1.0,1.0,0.5333333333333333,292877,144,l1,10,liblinear
TRBV20-1_TRBJ1-2,1_to_4,1.0,1.0,1.0,1.0,0.5833333333333333,355002,148,l1,10,liblinear
TRBV20-1_TRBJ1-2,1_to_5,1.0,1.0,1.0,1.0,0.3333333333333333,403774,103,l1,10,liblinear
TRBV20-1_TRBJ1-2,1_to_6,1.0,1.0,1.0,1.0,0.3333333333333333,444526,92,l1,10,liblinear
TRBV20-1_TRBJ1-2,1_to_7,1.0,1.0,1.0,1.0,0.0,481320,103,l1,10,liblinear
TRBV20-1_TRBJ1-4,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,25,l1,10,liblinear
TRBV20-1_TRBJ1-4,1_to_2,1.0,1.0,1.0,1.0,0.4,203659,113,l1,10,liblinear
TRBV20-1_TRBJ1-4,1_to_3,1.0,1.0,1.0,1.0,0.45,292877,154,l1,10,liblinear
TRBV20-1_TRBJ1-4,1_to_4,1.0,1.0,1.0,1.0,0.5,355002,172,l1,10,liblinear
TRBV20-1_TRBJ1-4,1_to_5,1.0,1.0,1.0,1.0,0.0,403774,132,l1,10,liblinear
TRBV20-1_TRBJ1-4,1_to_6,1.0,1.0,1.0,1.0,0.0,444526,129,l1,10,liblinear
TRBV20-1_TRBJ1-4,1_to_7,1.0,1.0,1.0,1.0,0.0,481320,110,l1,10,liblinear
TRBV20-1_TRBJ1-5,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,25,l1,10,liblinear
TRBV20-1_TRBJ1-5,1_to_2,1.0,1.0,1.0,1.0,0.4,203659,278,l1,10,liblinear
TRBV20-1_TRBJ1-5,1_to_3,1.0,1.0,1.0,1.0,0.2,292877,166,l1,10,liblinear
TRBV20-1_TRBJ1-5,1_to_4,1.0,1.0,1.0,1.0,0.5833333333333333,355002,133,l1,10,liblinear
TRBV20-1_TRBJ1-5,1_to_5,1.0,1.0,1.0,1.0,0.0,403774,105,l1,10,liblinear
TRBV20-1_TRBJ1-5,1_to_6,1.0,1.0,1.0,1.0,0.0,444526,90,l1,10,liblinear
