tcr_id,bin,accuracy,f1_score,precision,recall,p_value,coefficient,positive_class_count,negative_class_count
TCR_12,exactly_8,0.875,0.8,0.6666666666666666,1.0,0.6481182685520963,0.06017360984522333,30106,1876389
TCR_12,1_lt_x_le_2,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6481182685520962,0.30401252742968937,203659,1702836
TCR_12,1_lt_x_le_3,0.375,0.28571428571428575,0.3333333333333333,0.25,0.6481182685520962,0.1302783517372061,292877,1613618
TCR_12,1_lt_x_le_4,0.375,0.28571428571428575,0.3333333333333333,0.25,0.6481182685520962,0.1302783517372061,355002,1551493
TCR_12,1_lt_x_le_5,0.375,0.28571428571428575,0.3333333333333333,0.25,0.6481182685520962,0.1302783517372061,403774,1502721
TCR_12,1_lt_x_le_6,0.625,0.7692307692307693,0.625,1.0,0.6481182685520962,0.0,444526,1461969
TCR_12,1_lt_x_le_7,0.875,0.9090909090909091,1.0,0.8333333333333334,0.6481182685520962,-0.060173609845223595,481320,1425175
TCR_13,exactly_8,0.625,0.4,0.3333333333333333,0.5,0.5714262049583145,0.10275910806093777,30106,1876389
TCR_13,1_lt_x_le_2,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5714262049583143,0.4867002884930933,203659,1702836
TCR_13,1_lt_x_le_3,0.625,0.5714285714285715,0.6666666666666666,0.5,0.5714262049583143,0.21405806180082818,292877,1613618
TCR_13,1_lt_x_le_4,0.625,0.5714285714285715,0.6666666666666666,0.5,0.5714262049583143,0.21405806180082818,355002,1551493
TCR_13,1_lt_x_le_5,0.625,0.5714285714285715,0.6666666666666666,0.5,0.5714262049583143,0.21405806180082818,403774,1502721
TCR_13,1_lt_x_le_6,0.375,0.0,0.0,0.0,0.5714262049583143,0.0,444526,1461969
TCR_13,1_lt_x_le_7,0.625,0.7272727272727272,0.8,0.6666666666666666,0.5714262049583143,-0.10275910806093778,481320,1425175
TCR_14,exactly_8,0.75,0.0,0.0,0.0,0.5714262049583143,0.0,30106,1876389
TCR_14,1_lt_x_le_2,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5714262049583143,0.4381765193001825,203659,1702836
TCR_14,1_lt_x_le_3,0.5,0.0,0.0,0.0,0.5714262049583143,0.0,292877,1613618
TCR_14,1_lt_x_le_4,0.5,0.0,0.0,0.0,0.5714262049583143,0.0,355002,1551493
TCR_14,1_lt_x_le_5,0.5,0.0,0.0,0.0,0.5714262049583143,0.0,403774,1502721
TCR_14,1_lt_x_le_6,0.375,0.0,0.0,0.0,0.5714262049583143,0.0,444526,1461969
TCR_14,1_lt_x_le_7,0.75,0.8571428571428571,0.75,1.0,0.5714262049583143,0.0,481320,1425175
TCR_15,exactly_8,0.625,0.5714285714285715,0.4,1.0,0.9999184424735913,-0.6755501809255636,30106,1876389
TCR_15,1_lt_x_le_2,0.875,0.8,1.0,0.6666666666666666,0.3313721361497777,0.7734829799854717,203659,1702836
TCR_15,1_lt_x_le_3,0.875,0.8571428571428571,1.0,0.75,0.9999184383474842,0.9407134161997165,292877,1613618
TCR_15,1_lt_x_le_4,0.875,0.8571428571428571,1.0,0.75,0.9999184383474842,0.9407134161997165,355002,1551493
TCR_15,1_lt_x_le_5,0.875,0.8571428571428571,1.0,0.75,0.9999184383474842,0.9407134161997165,403774,1502721
TCR_15,1_lt_x_le_6,0.75,0.7499999999999999,1.0,0.6,0.9999184383474842,0.779461842873561,444526,1461969
TCR_15,1_lt_x_le_7,0.625,0.6666666666666666,1.0,0.5,0.9999184383474842,0.6755501809255637,481320,1425175
TCR_16,exactly_8,0.75,0.0,0.0,0.0,0.5714262049583143,0.0,30106,1876389
TCR_16,1_lt_x_le_2,0.625,0.0,0.0,0.0,0.5714262049583143,0.0,203659,1702836
TCR_16,1_lt_x_le_3,0.5,0.0,0.0,0.0,0.5714262049583143,0.0,292877,1613618
TCR_16,1_lt_x_le_4,0.5,0.0,0.0,0.0,0.5714262049583143,0.0,355002,1551493
TCR_16,1_lt_x_le_5,0.5,0.0,0.0,0.0,0.5714262049583143,0.0,403774,1502721
TCR_16,1_lt_x_le_6,0.75,0.8000000000000002,0.8,0.8,0.5714262049583143,-0.43793446949409837,444526,1461969
TCR_16,1_lt_x_le_7,0.75,0.8571428571428571,0.75,1.0,0.5714262049583143,0.0,481320,1425175
TCR_17,exactly_8,0.375,0.28571428571428575,0.2,0.5,0.4234921579214931,-0.03601103916990026,30106,1876389
TCR_17,1_lt_x_le_2,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4234921579214931,0.40771915618182775,203659,1702836
TCR_17,1_lt_x_le_3,0.625,0.5714285714285715,0.6666666666666666,0.5,0.4234921579214931,0.26207718248312983,292877,1613618
TCR_17,1_lt_x_le_4,0.625,0.5714285714285715,0.6666666666666666,0.5,0.4234921579214931,0.26207718248312983,355002,1551493
TCR_17,1_lt_x_le_5,0.625,0.5714285714285715,0.6666666666666666,0.5,0.4234921579214931,0.26207718248312983,403774,1502721
TCR_17,1_lt_x_le_6,0.5,0.5,0.6666666666666666,0.4,0.4234921579214931,0.14363993075227163,444526,1461969
TCR_17,1_lt_x_le_7,0.375,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.4234921579214931,0.03601103916990032,481320,1425175
TCR_18,exactly_8,0.625,0.5714285714285715,0.4,1.0,0.9999999996297919,-0.574403557215617,30106,1876389
TCR_18,1_lt_x_le_2,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5714262049583143,0.4381242246990892,203659,1702836
TCR_18,1_lt_x_le_3,0.5,0.6666666666666666,0.5,1.0,0.5714262049583143,0.0,292877,1613618
TCR_18,1_lt_x_le_4,0.5,0.6666666666666666,0.5,1.0,0.5714262049583143,0.0,355002,1551493
TCR_18,1_lt_x_le_5,0.5,0.6666666666666666,0.5,1.0,0.5714262049583143,0.0,403774,1502721
TCR_18,1_lt_x_le_6,0.75,0.7499999999999999,1.0,0.6,0.11583999999999993,0.7672182629596632,444526,1461969
TCR_18,1_lt_x_le_7,0.625,0.6666666666666666,1.0,0.5,0.2665697033800688,0.5744035572156171,481320,1425175
TCR_19,exactly_8,0.75,0.0,0.0,0.0,0.4434946401453709,0.0,30106,1876389
TCR_19,1_lt_x_le_2,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.020029329570898237,203659,1702836
TCR_19,1_lt_x_le_3,0.625,0.5714285714285715,0.6666666666666666,0.5,0.443494640145371,0.3360883626589815,292877,1613618
TCR_19,1_lt_x_le_4,0.625,0.5714285714285715,0.6666666666666666,0.5,0.443494640145371,0.3360883626589815,355002,1551493
TCR_19,1_lt_x_le_5,0.625,0.5714285714285715,0.6666666666666666,0.5,0.443494640145371,0.3360883626589815,403774,1502721
TCR_19,1_lt_x_le_6,0.5,0.5,0.6666666666666666,0.4,0.443494640145371,0.02385553998919465,444526,1461969
TCR_19,1_lt_x_le_7,0.75,0.8571428571428571,0.75,1.0,0.443494640145371,0.0,481320,1425175
TCR_20,exactly_8,0.625,0.4,0.3333333333333333,0.5,1.0,0.4042220442992879,30106,1876389
TCR_20,1_lt_x_le_2,0.625,0.0,0.0,0.0,0.6023036226729024,0.0,203659,1702836
TCR_20,1_lt_x_le_3,0.5,0.0,0.0,0.0,1.0,0.0,292877,1613618
TCR_20,1_lt_x_le_4,0.5,0.0,0.0,0.0,1.0,0.0,355002,1551493
TCR_20,1_lt_x_le_5,0.5,0.0,0.0,0.0,1.0,0.0,403774,1502721
TCR_20,1_lt_x_le_6,0.5,0.6,0.6,0.6,1.0,-0.09335832198792572,444526,1461969
TCR_20,1_lt_x_le_7,0.625,0.7272727272727272,0.8,0.6666666666666666,1.0,-0.40422204429928776,481320,1425175
TCR_21,exactly_8,0.75,0.0,0.0,0.0,0.5714262049583143,0.0,30106,1876389
TCR_21,1_lt_x_le_2,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5714262049583143,0.4381765193001825,203659,1702836
TCR_21,1_lt_x_le_3,0.5,0.0,0.0,0.0,0.5714262049583143,0.0,292877,1613618
TCR_21,1_lt_x_le_4,0.5,0.0,0.0,0.0,0.5714262049583143,0.0,355002,1551493
TCR_21,1_lt_x_le_5,0.5,0.0,0.0,0.0,0.5714262049583143,0.0,403774,1502721
TCR_21,1_lt_x_le_6,0.375,0.0,0.0,0.0,0.5714262049583143,0.0,444526,1461969
TCR_21,1_lt_x_le_7,0.75,0.8571428571428571,0.75,1.0,0.5714262049583143,0.0,481320,1425175
TCR_22,exactly_8,0.875,0.8,0.6666666666666666,1.0,1.0,0.6297076214912949,30106,1876389
TCR_22,1_lt_x_le_2,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.09330290074585942,203659,1702836
TCR_22,1_lt_x_le_3,0.5,0.0,0.0,0.0,1.0,0.0,292877,1613618
TCR_22,1_lt_x_le_4,0.5,0.0,0.0,0.0,1.0,0.0,355002,1551493
TCR_22,1_lt_x_le_5,0.5,0.0,0.0,0.0,1.0,0.0,403774,1502721
TCR_22,1_lt_x_le_6,0.75,0.8000000000000002,0.8,0.8,1.0,-0.11167513545038563,444526,1461969
