"Hugo_Symbol","Frame_Shift_Del","Frame_Shift_Ins","In_Frame_Del","In_Frame_Ins","Missense_Mutation","Nonsense_Mutation","Nonstop_Mutation","Splice_Site","Translation_Start_Site","total","MutatedSamples","AlteredSamples","MutationPercentage","MutationGroup"
"MYO18B",0,0,0,0,43,0,0,0,0,43,8,8,100,"76-100%"
"MYOM3",0,0,0,0,43,0,0,0,0,43,8,8,100,"76-100%"
"OR8D4",0,1,0,0,42,0,0,0,0,43,8,8,100,"76-100%"
"PCDHA9",0,0,0,0,43,0,0,0,0,43,8,8,100,"76-100%"
"PCLO",0,0,0,8,35,0,0,0,0,43,8,8,100,"76-100%"
"PRRC2A",0,0,1,0,42,0,0,0,0,43,8,8,100,"76-100%"
"TEP1",0,0,0,0,43,0,0,0,0,43,8,8,100,"76-100%"
"TRIOBP",0,0,5,0,38,0,0,0,0,43,8,8,100,"76-100%"
"VCX2",0,0,0,0,43,0,0,0,0,43,8,8,100,"76-100%"
"CELSR1",0,0,0,0,42,0,0,0,0,42,8,8,100,"76-100%"
"GEMIN4",0,0,0,0,42,0,0,0,0,42,8,8,100,"76-100%"
"KLRC3",0,0,0,0,42,0,0,0,0,42,8,8,100,"76-100%"
"MROH2B",0,0,0,0,38,4,0,0,0,42,8,8,100,"76-100%"
"NWD1",1,0,0,0,40,1,0,0,0,42,8,8,100,"76-100%"
"SERPINB11",0,0,0,0,35,7,0,0,0,42,8,8,100,"76-100%"
"SNX19",0,0,0,0,42,0,0,0,0,42,8,8,100,"76-100%"
"WDFY4",0,0,0,0,42,0,0,0,0,42,8,8,100,"76-100%"
"CCDC57",0,0,0,0,41,0,0,0,0,41,8,8,100,"76-100%"
"HMCN2",0,0,0,0,41,0,0,0,0,41,8,8,100,"76-100%"
"HSPG2",0,0,0,0,41,0,0,0,0,41,8,8,100,"76-100%"
"MYPN",0,0,0,0,41,0,0,0,0,41,8,8,100,"76-100%"
"NAALADL2",0,0,0,0,41,0,0,0,0,41,8,8,100,"76-100%"
"PLEC",0,0,0,0,41,0,0,0,0,41,8,8,100,"76-100%"
"SIGLEC12",0,5,0,0,33,3,0,0,0,41,8,8,100,"76-100%"
"C4orf50",0,0,0,0,40,0,0,0,0,40,8,8,100,"76-100%"
"CROCC2",0,0,0,0,40,0,0,0,0,40,8,8,100,"76-100%"
"HEG1",0,0,0,6,34,0,0,0,0,40,8,8,100,"76-100%"
"IGSF22",0,0,0,0,40,0,0,0,0,40,8,8,100,"76-100%"
"MOCOS",0,0,0,0,40,0,0,0,0,40,8,8,100,"76-100%"
"NBPF10",0,0,0,2,36,0,0,2,0,40,8,8,100,"76-100%"
"CD177",0,0,0,0,39,0,0,0,0,39,8,8,100,"76-100%"
"CRB2",0,0,0,0,39,0,0,0,0,39,8,8,100,"76-100%"
"DDX60L",0,0,0,0,39,0,0,0,0,39,8,8,100,"76-100%"
"EPPK1",0,0,3,0,36,0,0,0,0,39,8,8,100,"76-100%"
"GMCL2",0,0,0,0,39,0,0,0,0,39,8,8,100,"76-100%"
"KLHDC7A",0,0,0,0,39,0,0,0,0,39,8,8,100,"76-100%"
"KRT32",0,0,0,0,39,0,0,0,0,39,8,8,100,"76-100%"
"NACAD",0,0,0,0,39,0,0,0,0,39,8,8,100,"76-100%"
"OR12D2",0,0,0,0,39,0,0,0,0,39,8,8,100,"76-100%"
"OR1B1",0,8,0,0,27,4,0,0,0,39,8,8,100,"76-100%"
"PATJ",0,0,0,0,39,0,0,0,0,39,8,8,100,"76-100%"
"TASOR2",0,0,0,0,39,0,0,0,0,39,8,8,100,"76-100%"
